Order ID,Order Date,Product Name,Category,Quantity,Unit Price,Revenue,Customer Name,Region
ORD0001,2025-11-24,Laptop,Electronics,1,55000,55000,Customer_36,South
ORD0002,2025-04-25,Smartphone,Electronics,1,25000,25000,Customer_70,North
ORD0003,2025-10-30,Gaming Keyboard,Accessories,1,3500,3500,Customer_4,North
ORD0004,2025-04-22,Smartphone,Electronics,5,25000,125000,Customer_78,North
ORD0005,2025-10-15,Smartphone,Electronics,5,25000,125000,Customer_54,South
ORD0006,2025-08-18,Mouse,Accessories,3,1200,3600,Customer_1,South
ORD0007,2025-12-24,Gaming Keyboard,Accessories,3,3500,10500,Customer_36,South
ORD0008,2025-04-21,Desk Lamp,Furniture,3,1500,4500,Customer_14,North
ORD0009,2025-07-14,Laptop,Electronics,3,55000,165000,Customer_45,East
ORD0010,2025-01-23,Office Chair,Furniture,4,8000,32000,Customer_69,North
ORD0011,2025-07-13,Laptop,Electronics,5,55000,275000,Customer_38,East
ORD0012,2025-10-23,Smartphone,Electronics,1,25000,25000,Customer_6,South
ORD0013,2025-05-29,Laptop,Electronics,2,55000,110000,Customer_13,West
ORD0014,2025-05-23,Gaming Keyboard,Accessories,3,3500,10500,Customer_21,East
ORD0015,2025-07-01,Smartphone,Electronics,3,25000,75000,Customer_10,South
ORD0016,2025-10-01,Office Chair,Furniture,2,8000,16000,Customer_21,West
ORD0017,2025-07-14,Headphones,Electronics,5,2000,10000,Customer_29,East
ORD0018,2025-01-29,Smartphone,Electronics,1,25000,25000,Customer_41,West
ORD0019,2025-05-18,Laptop,Electronics,2,55000,110000,Customer_73,East
ORD0020,2025-04-19,Office Chair,Furniture,4,8000,32000,Customer_51,West
ORD0021,2025-03-15,Headphones,Electronics,2,2000,4000,Customer_32,East
ORD0022,2025-10-27,Gaming Keyboard,Accessories,5,3500,17500,Customer_52,East
ORD0023,2025-04-23,Smartphone,Electronics,5,25000,125000,Customer_64,North
ORD0024,2025-01-25,Desk Lamp,Furniture,1,1500,1500,Customer_20,South
ORD0025,2025-12-15,Gaming Keyboard,Accessories,5,3500,17500,Customer_9,West
ORD0026,2025-07-15,Mouse,Accessories,4,1200,4800,Customer_68,East
ORD0027,2025-10-11,Desk Lamp,Furniture,1,1500,1500,Customer_15,East
ORD0028,2025-11-25,Headphones,Electronics,1,2000,2000,Customer_38,West
ORD0029,2025-03-22,Gaming Keyboard,Accessories,1,3500,3500,Customer_34,South
ORD0030,2025-09-17,Laptop,Electronics,3,55000,165000,Customer_65,South
ORD0031,2025-03-20,Headphones,Electronics,2,2000,4000,Customer_70,North
ORD0032,2025-11-03,Headphones,Electronics,4,2000,8000,Customer_3,North
ORD0033,2025-07-05,Desk Lamp,Furniture,3,1500,4500,Customer_31,North
ORD0034,2025-05-04,Mouse,Accessories,1,1200,1200,Customer_11,West
ORD0035,2025-02-05,Desk Lamp,Furniture,5,1500,7500,Customer_17,South
ORD0036,2025-12-04,Gaming Keyboard,Accessories,5,3500,17500,Customer_22,East
ORD0037,2025-09-28,Desk Lamp,Furniture,5,1500,7500,Customer_55,South
ORD0038,2025-10-04,Desk Lamp,Furniture,2,1500,3000,Customer_40,West
ORD0039,2025-12-10,Office Chair,Furniture,3,8000,24000,Customer_57,West
ORD0040,2025-03-03,Smartphone,Electronics,2,25000,50000,Customer_9,East
ORD0041,2025-01-11,Mouse,Accessories,5,1200,6000,Customer_30,South
ORD0042,2025-01-04,Laptop,Electronics,1,55000,55000,Customer_30,North
ORD0043,2025-01-17,Desk Lamp,Furniture,3,1500,4500,Customer_10,South
ORD0044,2025-05-23,Office Chair,Furniture,4,8000,32000,Customer_28,South
ORD0045,2025-10-20,Mouse,Accessories,4,1200,4800,Customer_32,West
ORD0046,2025-07-28,Smartphone,Electronics,1,25000,25000,Customer_13,West
ORD0047,2025-07-01,Gaming Keyboard,Accessories,4,3500,14000,Customer_60,North
ORD0048,2025-12-11,Office Chair,Furniture,1,8000,8000,Customer_8,West
ORD0049,2025-06-23,Desk Lamp,Furniture,1,1500,1500,Customer_32,South
ORD0050,2025-04-08,Mouse,Accessories,4,1200,4800,Customer_18,West
ORD0051,2025-04-04,Headphones,Electronics,4,2000,8000,Customer_32,North
ORD0052,2025-08-15,Desk Lamp,Furniture,5,1500,7500,Customer_13,North
ORD0053,2025-11-30,Mouse,Accessories,1,1200,1200,Customer_12,South
ORD0054,2025-03-27,Gaming Keyboard,Accessories,4,3500,14000,Customer_62,South
ORD0055,2025-07-25,Laptop,Electronics,2,55000,110000,Customer_49,North
ORD0056,2025-07-19,Headphones,Electronics,4,2000,8000,Customer_37,West
ORD0057,2025-12-23,Office Chair,Furniture,5,8000,40000,Customer_63,South
ORD0058,2025-04-08,Headphones,Electronics,2,2000,4000,Customer_8,North
ORD0059,2025-06-10,Laptop,Electronics,1,55000,55000,Customer_75,West
